Date,Age,Major and University,Mobile Instagram usage frequency,Desktop Instagram usage frequency,"Desktop Instagram usage frequency 
(in the week of the experiment)",FLOW-1,FLOW-2,FLOW-3,FLOW-4,FLOW-5
11/14/2023,21,Computer Science (PUCMG),"Every day, once a day quickly",Two or three times a week,Two or three times a week,No,No,No,No,No
11/14/2023,24,Production Engineering (UFMG),Every day for more than 2 hours,Never or almost never,"Every day, once a day quickly",No,No,No,No,Yes
11/14/2023,22,Computer Science (PUCMG),"Every day, once a day quickly","Every day, for 1 or 2 hours in total",Every day for more than 2 hours,No,Yes,Yes,Yes,No
11/14/2023,24,Economics (PUCMG),"Every day, for 1 or 2 hours in total",Two or three times a week,Two or three times a week,Yes,No,Yes,No,No
11/14/2023,30,Multimedia Production (PUCMG),"Every day, once a day quickly",Two or three times a week,Two or three times a week,Yes,Yes,No,No,Yes
11/14/2023,26,Computer Science (UFMG),Every day for more than 2 hours,Never or almost never,Two or three times a week,No,No,No,No,Yes
11/14/2023,24,Advertising (PUCMG),Every day for more than 2 hours,Two or three times a week,Once a week,Yes,Yes,No,No,No
11/15/2023,24,Production Engineering (UFMG),"Every day, once a day quickly",Never or almost never,"Every day, once a day quickly",No,No,Yes,No,No
11/15/2023,24,Computer Science (PUCMG),Once a week,Never or almost never,"Every day, once a day quickly",No,Yes,Yes,No,No
11/16/2023,28,Psycologhy (PUCMG),Every day for more than 2 hours,Never or almost never,Two or three times a week,No,Yes,Yes,Yes,No
11/21/2023,28,Medicine (FCMMG),"Every day, for 1 or 2 hours in total",Never or almost never,"Every day, once a day quickly",Yes,Yes,Yes,No,Yes
