Date,Age,Major and University,Mobile Instagram usage frequency,Desktop Instagram usage frequency,"Desktop Instagram usage frequency 
(in the week of the experiment)",FLOW-1,FLOW-2,FLOW-3,FLOW-4,FLOW-5
11/14/2023,25,Medicine (FCMMG),"Every day, for 1 or 2 hours in total","Every day, once a day quickly",Two or three times a week,No,No,No,No,No
11/14/2023,24,Computer Science (PUCMG),Every day for more than 2 hours,Once a week,Two or three times a week,Yes,Yes,Yes,Yes,No
11/14/2023,21,Computer Science (PUCMG),Every day for more than 2 hours,Two or three times a week,"Every day, once a day quickly",Yes,Yes,Yes,Yes,Yes
11/14/2023,26,Mechanical Engineering (PUCMG),Every day for more than 2 hours,Two or three times a week,"Every day, for 1 or 2 hours in total",Yes,No,No,No,No
11/15/2023,24,Mathematics (UFMG),"Every day, for 1 or 2 hours in total",Two or three times a week,Two or three times a week,No,No,No,No,No
11/15/2023,22,Computer Science (PUCMG),Every day for more than 2 hours,"Every day, for 1 or 2 hours in total",Two or three times a week,No,No,No,No,No
11/15/2023,24,Psycologhy (PUCMG),"Every day, for 1 or 2 hours in total",Two or three times a week,Two or three times a week,Yes,No,No,Yes,No
11/15/2023,25,Computer Science (PUCMG),"Every day, for 1 or 2 hours in total",Never or almost never,Two or three times a week,No,Yes,Yes,No,No
11/15/2023,21,Computer Science (PUCMG),Every day for more than 2 hours,Never or almost never,Two or three times a week,No,No,No,Yes,Yes
11/15/2023,22,Computer Science (PUCMG),"Every day, once a day quickly",Once a week,"Every day, once a day quickly",No,No,No,No,Yes
11/16/2023,25,Medicine (FCMMG),Every day for more than 2 hours,Never or almost never,Once a week,Yes,Yes,No,No,Yes
